Date,Nominal_US_GDP_Quarterly
1946-01-01,
1946-02-01,
1946-03-01,
1946-04-01,
1946-05-01,
1946-06-01,
1946-07-01,
1946-08-01,
1946-09-01,
1946-10-01,
1946-11-01,
1946-12-01,
1947-01-01,243.164
1947-02-01,244.72193679261963
1947-03-01,245.46755810731494
1947-04-01,245.968
1947-05-01,246.5301075413749
1947-06-01,247.62188275137376
1947-07-01,249.585
1947-08-01,252.7639319901517
1947-09-01,256.4685925586597
1947-10-01,259.745
1947-11-01,262.208589111408
1947-12-01,263.99257716713635
1948-01-01,265.742
1948-02-01,267.81745480190983
1948-03-01,270.0341585756528
1948-04-01,272.567
1948-05-01,275.0340684703331
1948-06-01,277.3726326061458
1948-07-01,279.196
1948-08-01,280.4064326028012
1948-09-01,280.81656804745967
1948-10-01,280.366
1948-11-01,279.01744552226427
1948-12-01,277.1531406325301
1949-01-01,275.034
1949-02-01,273.10799469417344
1949-03-01,271.85313010832533
1949-04-01,271.351
1949-05-01,271.88745067417335
1949-06-01,272.7361858232514
1949-07-01,272.889
1949-08-01,271.7885822186509
1949-09-01,270.5325896746937
1949-10-01,270.627
1949-11-01,273.0875893230513
1949-12-01,276.8693889136516
1950-01-01,280.828
1950-02-01,283.8670747734599
1950-03-01,286.4801993149397
1950-04-01,290.383
1950-05-01,295.9013217466573
1950-06-01,302.42281872088546
1950-07-01,308.153
1950-08-01,312.4958737862032
1950-09-01,316.05408038960223
1950-10-01,319.945
1950-11-01,325.2490060531164
1950-12-01,330.86910857564146
1951-01-01,336.0
1951-02-01,339.58079200045626
1951-03-01,341.8659467171955
1951-04-01,344.09
1951-05-01,346.49719151896204
1951-06-01,349.0953891124246
1951-07-01,351.385
1951-08-01,353.27031613830115
1951-09-01,354.8053042675471
1951-10-01,356.178
1951-11-01,357.6266496586533
1951-12-01,358.894887627012
1952-01-01,359.82
1952-02-01,360.2268217654339
1952-03-01,360.46322643699807
1952-04-01,361.03
1952-05-01,362.28915611412333
1952-06-01,364.5180260999261
1952-07-01,367.701
1952-08-01,372.0210293057402
1952-09-01,376.71188549630733
1952-10-01,380.812
1952-11-01,383.9813548276821
1952-12-01,386.19434699515733
1953-01-01,387.98
1953-02-01,389.5568201295294
1953-03-01,390.7670974627489
1953-04-01,391.749
1953-05-01,392.21889928091196
1953-06-01,392.0683604003566
1953-07-01,391.171
1953-08-01,389.46119175266165
1953-09-01,387.49115115462104
1953-10-01,385.97
