Date,SP500_Earnings_Annual_Yield_Monthly
1871-01-01,0.0900900900900901
1871-02-01,0.08888888888888889
1871-03-01,0.08680555555555555
1871-04-01,0.08438818565400844
1871-05-01,0.0823045267489712
1871-06-01,0.08298755186721991
1871-07-01,0.08460236886632826
1871-08-01,0.08347245409015025
1871-09-01,0.08264462809917356
1871-10-01,0.08710801393728222
1871-11-01,0.08620689655172414
1871-12-01,0.08438818565400844
1872-01-01,0.08285004142502071
1872-02-01,0.08298755186721991
1872-03-01,0.08084074373484236
1872-04-01,0.0791765637371338
1872-05-01,0.07961783439490445
1872-06-01,0.08090614886731393
1872-07-01,0.0818330605564648
1872-08-01,0.08333333333333333
1872-09-01,0.08532423208191126
1872-10-01,0.0855431993156544
1872-11-01,0.08635578583765112
1872-12-01,0.08481764206955048
1873-01-01,0.08460236886632826
1873-02-01,0.08445945945945946
1873-03-01,0.08561643835616438
1873-04-01,0.08733624454148473
1873-05-01,0.0876424189307625
1873-06-01,0.08936550491510277
1873-07-01,0.09000900090009001
1873-08-01,0.09057971014492755
1873-09-01,0.09861932938856015
1873-10-01,0.10857763300760043
1873-11-01,0.11325028312570781
1873-12-01,0.10405827263267431
1874-01-01,0.09871668311944717
1874-02-01,0.09587727708533078
1874-03-01,0.09727626459143969
1874-04-01,0.1
1874-05-01,0.1026694045174538
1874-06-01,0.10309278350515465
1874-07-01,0.10309278350515465
1874-08-01,0.10288065843621398
1874-09-01,0.10131712259371835
1874-10-01,0.10152284263959391
1874-11-01,0.10070493454179255
1874-12-01,0.10131712259371835
1875-01-01,0.09950248756218905
1875-02-01,0.09784735812133072
1875-03-01,0.0947867298578199
1875-04-01,0.09174311926605504
1875-05-01,0.09354536950420955
1875-06-01,0.09363295880149813
1875-07-01,0.09149130832570906
1875-08-01,0.08920606601248884
1875-09-01,0.0881057268722467
1875-10-01,0.0876424189307625
1875-11-01,0.08424599831508003
1875-12-01,0.08237232289950576
1876-01-01,0.0792393026941363
1876-02-01,0.07668711656441718
1876-03-01,0.07541478129713423
1876-04-01,0.07680491551459294
1876-05-01,0.07818608287724786
1876-06-01,0.07710100231303006
1876-07-01,0.07639419404125286
1876-08-01,0.078064012490242
1876-09-01,0.08130081300813008
1876-10-01,0.07993605115907275
1876-11-01,0.07961783439490445
1876-12-01,0.07818608287724786
1877-01-01,0.07936507936507936
1877-02-01,0.08481764206955048
1877-03-01,0.08992805755395684
1877-04-01,0.0975609756097561
1877-05-01,0.09803921568627452
1877-06-01,0.10626992561105207
1877-07-01,0.1023541453428864
1877-08-01,0.09615384615384615
1877-09-01,0.09107468123861566
1877-10-01,0.08960573476702509
1877-11-01,0.09149130832570906
1877-12-01,0.09233610341643582
1878-01-01,0.09259259259259259
1878-02-01,0.09487666034155598
1878-03-01,0.09337068160597571
1878-04-01,0.09107468123861566
1878-05-01,0.09107468123861566
1878-06-01,0.08944543828264759
1878-07-01,0.08787346221441124
1878-08-01,0.08888888888888889
1878-09-01,0.08733624454148473
1878-10-01,0.08857395925597875
1878-11-01,0.08912655971479501
1878-12-01,0.08984725965858041
1879-01-01,0.08818342151675485
1879-02-01,0.08673026886383348
1879-03-01,0.08968609865470852
1879-04-01,0.08841732979664013
1879-05-01,0.08605851979345956
1879-06-01,0.08710801393728222
1879-07-01,0.08680555555555555
1879-08-01,0.0876424189307625
1879-09-01,0.0859106529209622
1879-10-01,0.07867820613690008
1879-11-01,0.07593014426727411
1879-12-01,0.07722007722007722
1880-01-01,0.07616146230007616
1880-02-01,0.07656967840735068
1880-03-01,0.07686395080707148
1880-04-01,0.08045052292839903
1880-05-01,0.08928571428571429
1880-06-01,0.09082652134423251
1880-07-01,0.08865248226950355
1880-08-01,0.08733624454148473
1880-09-01,0.08928571428571429
1880-10-01,0.08849557522123894
1880-11-01,0.0856898029134533
1880-12-01,0.08389261744966443
1881-01-01,0.07849293563579278
1881-02-01,0.078064012490242
1881-03-01,0.07651109410864575
1881-04-01,0.076103500761035
1881-05-01,0.07220216606498195
1881-06-01,0.0706713780918728
1881-07-01,0.07256894049346879
1881-08-01,0.07363770250368189
1881-09-01,0.0724112961622013
1881-10-01,0.07288629737609328
1881-11-01,0.07173601147776183
1881-12-01,0.07320644216691069
1882-01-01,0.07418397626112759
1882-02-01,0.07570022710068129
1882-03-01,0.07570022710068129
1882-04-01,0.0755287009063444
1882-05-01,0.07633587786259542
1882-06-01,0.07656967840735068
1882-07-01,0.0723589001447178
1882-08-01,0.07012622720897616
1882-09-01,0.0693000693000693
1882-10-01,0.07112375533428164
1882-11-01,0.07412898443291327
1882-12-01,0.07363770250368189
1883-01-01,0.07358351729212656
1883-02-01,0.07485029940119761
1883-03-01,0.07347538574577517
1883-04-01,0.07153075822603719
1883-05-01,0.0723589001447178
1883-06-01,0.07132667617689016
1883-07-01,0.07199424046076314
1883-08-01,0.07496251874062969
1883-09-01,0.07369196757553427
1883-10-01,0.07530120481927711
1883-11-01,0.07369196757553427
1883-12-01,0.0749063670411985
1884-01-01,0.07575757575757576
1884-02-01,0.0723589001447178
1884-03-01,0.07122507122507123
1884-04-01,0.07309941520467836
1884-05-01,0.0779423226812159
1884-06-01,0.07961783439490445
1884-07-01,0.0779423226812159
1884-08-01,0.07173601147776183
1884-09-01,0.07246376811594203
1884-10-01,0.07320644216691069
1884-11-01,0.07299270072992702
1884-12-01,0.07142857142857142
1885-01-01,0.0723589001447178
1885-02-01,0.06939625260235947
1885-03-01,0.0684931506849315
1885-04-01,0.06788866259334692
1885-05-01,0.06788866259334692
