Date,SP500_Div_Reinvest_Month
1871-02-01,4.5
1871-03-01,4.632204833333334
1871-04-01,4.7852163057
1871-05-01,4.928807623977022
1871-06-01,4.910034715240499
1871-07-01,4.839996007219868
1871-08-01,4.923856015558492
1871-09-01,4.997766280981178
1871-10-01,4.760826983172837
1871-11-01,4.835387687884756
1871-12-01,4.962650089704689
1872-01-01,5.11156571295028
1872-02-01,5.155783210479782
1872-03-01,5.3490976115359965
1872-04-01,5.522239976632362
1872-05-01,5.546537832529545
1872-06-01,5.517443671773449
1872-07-01,5.510135478839785
1872-08-01,5.470494915953779
1872-09-01,5.398283569001446
1872-10-01,5.44656294542844
1872-11-01,5.451316359266628
1872-12-01,5.611340301630916
1873-01-01,5.683512246438769
1873-02-01,5.756259720215431
1873-03-01,5.739727891328351
1873-04-01,5.6895013409587545
1873-05-01,5.730006583020317
1873-06-01,5.679728328227545
1873-07-01,5.698223656413645
1873-08-01,5.728566697384047
1873-09-01,5.318960346971718
1873-10-01,4.883879143948093
1873-11-01,4.739490384760299
1873-12-01,5.2203279127472815
1874-01-01,5.538045691325625
1874-02-01,5.738080852433764
1874-03-01,5.686819069574008
1874-04-01,5.562690918029316
1874-05-01,5.4499472659272055
1874-06-01,5.4589394761649706
1874-07-01,5.492602936267988
1874-08-01,5.538865184990165
1874-09-01,5.660201027893839
1874-10-01,5.6819494776253014
1874-11-01,5.766896085658197
1874-12-01,5.763508717738589
1875-01-01,5.798425974720222
1875-02-01,5.820416249792082
1875-03-01,5.932745465187697
1875-04-01,6.045508020811838
1875-05-01,5.844807555394899
1875-06-01,5.761012366986067
1875-07-01,5.808762237392577
1875-08-01,5.869848186698151
1875-09-01,5.850682555588337
1875-10-01,5.790738720281959
1875-11-01,5.919777140339284
1875-12-01,5.953914521848574
1876-01-01,6.111272713210953
1876-02-01,6.228222284731503
1876-03-01,6.248829616665631
1876-04-01,6.046609777376421
1876-05-01,5.857228055070643
1876-06-01,5.849984756500947
1876-07-01,5.81432451809671
1876-08-01,5.607239550681074
1876-09-01,5.298288142025733
1876-10-01,5.3052724775527915
1876-11-01,5.239513119241108
1876-12-01,5.246573605739337
1877-01-01,5.2389394503367575
1877-02-01,4.962670988271809
1877-03-01,4.743168261594972
1877-04-01,4.4305530739309225
1877-05-01,4.463634536882941
1877-06-01,4.17468062375276
1877-07-01,4.390760487191809
1877-08-01,4.731267172593773
1877-09-01,5.057121177033846
1877-10-01,5.195268642549505
1877-11-01,5.143610773231772
1877-12-01,5.153942041547383
1878-01-01,5.1790675089999265
1878-02-01,5.0920958267111
1878-03-01,5.21376809378557
1878-04-01,5.384450206083588
1878-05-01,5.4258676234420635
1878-06-01,5.565250148432719
1878-07-01,5.705192525112385
1878-08-01,5.680943407601734
1878-09-01,5.821857150514465
1878-10-01,5.78054511985948
1878-11-01,5.789007472478193
1878-12-01,5.780630511737219
1879-01-01,6.02454463506624
1879-02-01,6.26974304076887
1879-03-01,6.193738601827438
1879-04-01,6.424397245417534
1879-05-01,6.741787178561335
1879-06-01,6.803000552806475
1879-07-01,6.96819664703826
1879-08-01,7.047727946743756
1879-09-01,7.3363976308359655
1879-10-01,8.167423726261783
1879-11-01,8.633830740783596
1879-12-01,8.645182564487808
1880-01-01,9.009495155633585
1880-02-01,9.19881209460842
1880-03-01,9.407277225365275
1880-04-01,9.225389590997132
1880-05-01,8.525281809741164
1880-06-01,8.594700599890338
1880-07-01,9.025404552290686
1880-08-01,9.386212213309076
1880-09-01,9.404194315050294
1880-10-01,9.714658146962515
1880-11-01,10.264959356533861
1880-12-01,10.726321400863208
1881-01-01,11.411326662636899
1881-02-01,11.415025358123296
1881-03-01,11.58666885773841
1881-04-01,11.59197662904127
1881-05-01,12.159228700820119
1881-06-01,12.35380816109292
1881-07-01,11.965801425325127
1881-08-01,11.728416884450272
1881-09-01,11.870686995178987
1881-10-01,11.728257744336032
1881-11-01,11.854118159719885
1881-12-01,11.558229444145391
1882-01-01,11.435618617944337
1882-02-01,11.234922062430165
1882-03-01,11.267202897649096
1882-04-01,11.319219817693243
1882-05-01,11.23376003446008
1882-06-01,11.226887307947461
1882-07-01,11.915028296725966
1882-08-01,12.326989407166241
1882-09-01,12.500397036794302
1882-10-01,12.211824670055842
1882-11-01,11.740081245971218
1882-12-01,11.854886173570234
1883-01-01,11.847846996580298
1883-02-01,11.636029515818029
1883-03-01,11.834990938928506
1883-04-01,12.138465320278982
1883-05-01,11.986463438955095
1883-06-01,12.146955329059663
1883-07-01,12.01472570219536
1883-08-01,11.523939708607209
1883-09-01,11.708305363231473
1883-10-01,11.44691444658215
1883-11-01,11.676182525799893
1883-12-01,11.47694643435485
1884-01-01,11.19040318913622
1884-02-01,11.553567057678793
1884-03-01,11.569026106833975
1884-04-01,11.101567965200072
1884-05-01,10.256359632007639
1884-06-01,9.894010901272305
1884-07-01,9.953127616407407
1884-08-01,10.640926672631537
1884-09-01,10.361548469365223
1884-10-01,10.080233557130942
1884-11-01,9.934007736673527
1884-12-01,9.970390183629117
1885-01-01,9.798614604179738
1885-02-01,10.159385612391873
1885-03-01,10.240589790823918
1885-04-01,10.274085248100922
1885-05-01,10.212055164534355
1885-06-01,10.219836340826774
1885-07-01,10.656643237328964
1885-08-01,11.310633786781787
1885-09-01,11.218566788672875
1885-10-01,11.924767123937302
1885-11-01,12.754549943687744
1885-12-01,12.706655472747803
1886-01-01,12.755576096317881
1886-02-01,13.050495645311496
1886-03-01,12.827240446953505
1886-04-01,12.702003081264095
1886-05-01,12.501241968500771
