Date,SP500_Growth_Based_On_Earnings
1871-01-01,4.44
1871-02-01,4.472888888888889
1871-03-01,4.505244855967078
1871-04-01,4.5369273092439215
1871-05-01,4.568044780500738
1871-06-01,4.599635684930204
1871-07-01,4.63206402450247
1871-08-01,4.66428483713813
1871-09-01,4.696408010947621
1871-10-01,4.730499242153687
1871-11-01,4.764482713720883
1871-12-01,4.797988218036783
1872-01-01,4.831114344921876
1872-02-01,4.864524540944849
1872-03-01,4.897295522762047
1872-04-01,4.929608108686842
1872-05-01,4.962315168855942
1872-06-01,4.995771986337441
1872-07-01,5.029840262294461
1872-08-01,5.064769708560394
1872-09-01,5.100782007398281
1872-10-01,5.137143441725328
1872-11-01,5.174111946631239
1872-12-01,5.210683277891002
1873-01-01,5.247419623617813
1873-02-01,5.284352475698456
1873-03-01,5.322054762197446
1873-04-01,5.360788785211984
1873-05-01,5.399941493254724
1873-06-01,5.440155534759451
1873-07-01,5.48096078179485
1873-08-01,5.522332768372408
1873-09-01,5.5677168312288545
1873-10-01,5.618094290794805
1873-11-01,5.671115188216424
1873-12-01,5.720292392415317
1874-01-01,5.767349750036371
1874-02-01,5.813429565872392
1874-03-01,5.860555291925183
1874-04-01,5.909393252691227
1874-05-01,5.9599527432173325
1874-06-01,6.011155086372121
1874-07-01,6.062797312200059
1874-08-01,6.114776027153764
1874-09-01,6.16640365318512
1874-10-01,6.218572888829665
1874-11-01,6.270759636805745
1874-12-01,6.323704247045578
1875-01-01,6.37613960564463
1875-02-01,6.428130306930055
1875-03-01,6.4789054278378755
1875-04-01,6.5284383439528435
1875-05-01,6.579330442050386
1875-06-01,6.630667290068883
1875-07-01,6.681221325522291
1875-08-01,6.730888448073006
1875-09-01,6.7803075996741295
1875-10-01,6.82982781293497
1875-11-01,6.8777766181367035
1875-12-01,6.924988154505022
1876-01-01,6.970715757215699
1876-02-01,7.015262764866617
1876-03-01,7.059350640462812
1876-04-01,7.104533376256864
1876-05-01,7.15082301253688
1876-06-01,7.196767647672686
1876-07-01,7.24258358635153
1876-08-01,7.289699014313744
1876-09-01,7.339087219017766
1876-10-01,7.387975356634457
1876-11-01,7.436993239839303
1876-12-01,7.485449020656604
1877-01-01,7.534955958623908
1877-02-01,7.588214058416274
1877-03-01,7.645080170964358
1877-04-01,7.707235294305532
1877-05-01,7.770202902919139
1877-06-01,7.839014476625471
1877-07-01,7.9058774455492635
1877-08-01,7.969225822516806
1877-09-01,8.029708714308828
1877-10-01,8.089667710084731
1877-11-01,8.151345566977723
1877-12-01,8.21406752424902
1878-01-01,8.277447674899088
1878-02-01,8.342892390861287
1878-03-01,8.407807519952955
1878-04-01,8.471619052435901
1878-05-01,8.5359148861672
1878-06-01,8.599539773511918
1878-07-01,8.662512384624335
1878-08-01,8.72667914302896
1878-09-01,8.790192091668182
1878-10-01,8.855073934683153
1878-11-01,8.920842457668025
1878-12-01,8.987635228390307
1879-01-01,9.053681930538971
1879-02-01,9.119117619542578
1879-03-01,9.187272459748426
1879-04-01,9.254965301332192
1879-05-01,9.321337685879898
1879-06-01,9.389001286967877
1879-07-01,9.456919409703467
1879-08-01,9.525988350761775
1879-09-01,9.594187007339393
1879-10-01,9.657091459262677
1879-11-01,9.718196821571349
1879-12-01,9.78073348065482
1880-01-01,9.842809727675986
1880-02-01,9.905614792298728
1880-03-01,9.969063516307815
1880-04-01,10.035898214057264
1880-05-01,10.110570075769001
1880-06-01,10.187095734834768
1880-07-01,10.262355011835616
1880-08-01,10.337044640742716
1880-09-01,10.413957175272053
1880-10-01,10.490756269484974
1880-11-01,10.565668839247078
1880-12-01,10.639533973749645
1881-01-01,10.709127995032674
1881-02-01,10.778794453496326
1881-03-01,10.847519233230427
1881-04-01,10.916313748915552
1881-05-01,10.981995540425274
1881-06-01,11.046671603678663
1881-07-01,11.11347537486685
1881-08-01,11.181672940986553
1881-09-01,11.24914622689644
1881-10-01,11.317471944989835
1881-11-01,11.38512780310192
1881-12-01,11.45458319477531
1882-01-01,11.525395405425503
1882-02-01,11.59810165956016
1882-03-01,11.671266570357284
1882-04-01,11.744726203856512
1882-05-01,11.81943820260878
1882-06-01,11.894855751119556
1882-07-01,11.96658064108048
1882-08-01,12.036511570493058
1882-09-01,12.106022494323579
1882-10-01,12.177774642820042
1882-11-01,12.253001815063802
1882-12-01,12.328192056933364
1883-01-01,12.403788034716866
1883-02-01,12.481156972059162
1883-03-01,12.557578457315463
1883-04-01,12.632432883026691
1883-05-01,12.708605295490674
1883-06-01,12.784143843371622
1883-07-01,12.860842570533677
1883-08-01,12.941182666551505
1883-09-01,13.02065443433922
1883-10-01,13.10236034820932
1883-11-01,13.182821907704586
1883-12-01,13.265111682409358
1884-01-01,13.348856074343761
1884-02-01,13.429348452987899
1884-03-01,13.509057311327096
1884-04-01,13.59134932711247
1884-05-01,13.679627771689715
1884-06-01,13.770389633232242
1884-07-01,13.859830979252198
1884-08-01,13.94268506210282
1884-09-01,14.026880020207306
1884-10-01,14.112451518622432
1884-11-01,14.198293681144467
1884-12-01,14.282807334008421
1885-01-01,14.368931353147401
1885-02-01,14.452027185631481
1885-03-01,14.534515925275496
1885-04-01,14.616743329242883
1885-05-01,14.699435925583927
1885-06-01,14.782035588011349
1885-07-01,14.86120244527362
1885-08-01,14.93567229116094
1885-09-01,15.010605425272724
1885-10-01,15.080958844026346
1885-11-01,15.146516828916045
1885-12-01,15.212052121529908
1886-01-01,15.27908919239863
1886-02-01,15.346350546476804
1886-03-01,15.41657913217366
1886-04-01,15.489326296821515
1886-05-01,15.565165144729962
1886-06-01,15.639284978752485
1886-07-01,15.71384297350245
1886-08-01,15.789448453552017
1886-09-01,15.864679292381595
1886-10-01,15.939540934946626
1886-11-01,16.01408050160837
1886-12-01,16.09216749449704
1887-01-01,16.17208489365525
1887-02-01,16.25356456361522
1887-03-01,16.33418740371252
1887-04-01,16.413975345309396
1887-05-01,16.49336195464055
1887-06-01,16.576110108135637
1887-07-01,16.661961103102158
1887-08-01,16.75113880114916
1887-09-01,16.842615094296544
1887-10-01,16.938420640908014
1887-11-01,17.03360169643121
1887-12-01,17.130559811734212
1888-01-01,17.225099325044003
1888-02-01,17.31842994557415
1888-03-01,17.413627999364685
1888-04-01,17.506589925477034
1888-05-01,17.596422591350787
1888-06-01,17.687163219400244
1888-07-01,17.773661474581193
1888-08-01,17.856406639732874
1888-09-01,17.935221993898363
1888-10-01,18.01250233685725
1888-11-01,18.089360599089957
1888-12-01,18.16560980073846
1889-01-01,18.241680193538873
1889-02-01,18.318184472156297
1889-03-01,18.397607748570433
1889-04-01,18.478511916330195
1889-05-01,18.558588671037814
1889-06-01,18.63863779401503
1889-07-01,18.721653283922453
1889-08-01,18.804949481128016
1889-09-01,18.887557763860087
1889-10-01,18.97305277456016
1889-11-01,19.060744828426678
1889-12-01,19.150332837584543
1890-01-01,19.239090405426516
1890-02-01,19.329009504348868
1890-03-01,19.419756027843466
1890-04-01,19.508821135290923
1890-05-01,19.594386140270267
1890-06-01,19.68068981424961
1890-07-01,19.767787928138127
1890-08-01,19.8570733298009
1890-09-01,19.948043979103637
1890-10-01,20.043470902080596
1890-11-01,20.146575176268254
1890-12-01,20.252431498127585
1891-01-01,20.35502740237342
1891-02-01,20.458268563878658
1891-03-01,20.56549219366838
1891-04-01,20.67128176256585
1891-05-01,20.77941778350415
1891-06-01,20.891860520427873
1891-07-01,21.008392540287467
1891-08-01,21.12319249952401
1891-09-01,21.231383405585902
1891-10-01,21.341481846809643
1891-11-01,21.455266672181843
1891-12-01,21.56764498075183
1892-01-01,21.67934813478514
1892-02-01,21.792261406320478
1892-03-01,21.90533872785597
1892-04-01,22.020074422009834
1892-05-01,22.136214055037314
1892-06-01,22.254387309655282
1892-07-01,22.37403455325558
1892-08-01,22.493477402675055
1892-09-01,22.617449390123664
1892-10-01,22.740477291505975
1892-11-01,22.865479915140025
1892-12-01,22.993448797584282
1893-01-01,23.11667199585644
1893-02-01,23.23960686075676
1893-03-01,23.364550983664053
1893-04-01,23.48677608820299
1893-05-01,23.617869948931965
1893-06-01,23.752398713735634
1893-07-01,23.89719509701859
1893-08-01,24.042026582455065
1893-09-01,24.173835938718522
1893-10-01,24.29841765351299
1893-11-01,24.41766783830644
1893-12-01,24.537644586725794
1894-01-01,24.65680564241114
1894-02-01,24.770957520385263
1894-03-01,24.878526382294176
1894-04-01,24.981364206295062
1894-05-01,25.08462712050759
1894-06-01,25.18575849899698
1894-07-01,25.285369946944286
1894-08-01,25.377746718634132
1894-09-01,25.46506349099387
1894-10-01,25.55146775093888
1894-11-01,25.634030332530386
1894-12-01,25.71350091267836
1895-01-01,25.797962550152665
1895-02-01,25.887763310909254
1895-03-01,25.981722962879743
1895-04-01,26.075859640281482
1895-05-01,26.168961110005423
1895-06-01,26.264065635045416
1895-07-01,26.362610080621902
1895-08-01,26.463523455605145
1895-09-01,26.567595830371566
1895-10-01,26.67714389168763
1895-11-01,26.794581573901432
1895-12-01,26.923799270534833
1896-01-01,27.053415096023638
1896-02-01,27.176676509801766
1896-03-01,27.300770923088532
1896-04-01,27.422627604587767
1896-05-01,27.543795100189513
1896-06-01,27.666016413200648
1896-07-01,27.79539359433234
1896-08-01,27.931166325840408
1896-09-01,28.058845820838762
1896-10-01,28.182431293974947
1896-11-01,28.29682661502534
1896-12-01,28.41414347495496
1897-01-01,28.536639351291207
1897-02-01,28.665601025872242
1897-03-01,28.799577474862108
1897-04-01,28.943374047035373
1897-05-01,29.092167867963994
1897-06-01,29.239813868105912
1897-07-01,29.386423444259673
1897-08-01,29.529048291106204
1897-09-01,29.669904274177686
1897-10-01,29.820390702835514
1897-11-01,29.981651738433804
1897-12-01,30.144737311423548
1898-01-01,30.305973604274552
1898-02-01,30.470180223283407
1898-03-01,30.644934640714492
1898-04-01,30.82553892313266
1898-05-01,30.997825637435888
1898-06-01,31.166328712220817
1898-07-01,31.336748269921067
1898-08-01,31.503610614276344
1898-09-01,31.673313321743894
1898-10-01,31.849276173531358
1898-11-01,32.022294840271535
1898-12-01,32.187630935068476
1899-01-01,32.34681803168108
1899-02-01,32.50556762940233
1899-03-01,32.66748019978189
1899-04-01,32.832667700792115
1899-05-01,33.01079632330075
1899-06-01,33.19882774460003
1899-07-01,33.3863917431571
1899-08-01,33.57501542532183
1899-09-01,33.771636504177074
1899-10-01,33.97512913194387
1899-11-01,34.18073993521151
1899-12-01,34.40788467162307
1900-01-01,34.6334805585338
1900-02-01,34.856519459606275
1900-03-01,35.07927329050867
1900-04-01,35.30056570339354
1900-05-01,35.534406228720734
1900-06-01,35.77692879375432
1900-07-01,36.02110657694948
1900-08-01,36.26357498417181
